"year","swc","temp"
1,0.3,15
2,0.3,15
3,0.3,15
4,0.3,15
5,0.3,15
6,0.3,15
7,0.3,15
8,0.3,15
9,0.3,15
10,0.3,15
11,0.3,15
12,0.3,15
13,0.3,15
14,0.3,15
15,0.3,15
16,0.3,15
17,0.3,15
18,0.3,15
19,0.3,15
20,0.3,15
21,0.3,15
22,0.3,15
23,0.3,15
24,0.3,15
25,0.3,15
26,0.3,15
27,0.3,15
28,0.3,15
29,0.3,15
30,0.3,15
31,0.3,15
32,0.3,15
33,0.3,15
34,0.3,15
35,0.3,15
36,0.3,15
37,0.3,15
38,0.3,15
39,0.3,15
40,0.3,15
41,0.3,15
42,0.3,15
43,0.3,15
44,0.3,15
45,0.3,15
46,0.3,15
47,0.3,15
48,0.3,15
49,0.3,15
50,0.3,15
51,0.3,15
52,0.3,15
53,0.3,15
54,0.3,15
55,0.3,15
56,0.3,15
57,0.3,15
58,0.3,15
59,0.3,15
60,0.3,15
61,0.3,15
62,0.3,15
63,0.3,15
64,0.3,15
65,0.3,15
66,0.3,15
67,0.3,15
68,0.3,15
69,0.3,15
70,0.3,15
71,0.3,15
72,0.3,15
73,0.3,15
74,0.3,15
75,0.3,15
76,0.3,15
77,0.3,15
78,0.3,15
79,0.3,15
80,0.3,15
81,0.3,15
82,0.3,15
83,0.3,15
84,0.3,15
85,0.3,15
86,0.3,15
87,0.3,15
88,0.3,15
89,0.3,15
90,0.3,15
91,0.3,15
92,0.3,15
93,0.3,15
94,0.3,15
95,0.3,15
96,0.3,15
97,0.3,15
98,0.3,15
99,0.3,15
100,0.3,15
101,0.3,15
102,0.3,15
103,0.3,15
104,0.3,15
105,0.3,15
106,0.3,15
107,0.3,15
108,0.3,15
109,0.3,15
110,0.3,15
111,0.3,15
112,0.3,15
113,0.3,15
114,0.3,15
115,0.3,15
116,0.3,15
117,0.3,15
118,0.3,15
119,0.3,15
120,0.3,15
121,0.3,15
122,0.3,15
123,0.3,15
124,0.3,15
125,0.3,15
126,0.3,15
127,0.3,15
128,0.3,15
129,0.3,15
130,0.3,15
131,0.3,15
132,0.3,15
133,0.3,15
134,0.3,15
135,0.3,15
136,0.3,15
137,0.3,15
138,0.3,15
139,0.3,15
140,0.3,15
141,0.3,15
142,0.3,15
143,0.3,15
144,0.3,15
145,0.3,15
146,0.3,15
147,0.3,15
148,0.3,15
149,0.3,15
150,0.3,15
151,0.3,15
152,0.3,15
153,0.3,15
154,0.3,15
155,0.3,15
156,0.3,15
157,0.3,15
158,0.3,15
159,0.3,15
160,0.3,15
161,0.3,15
162,0.3,15
163,0.3,15
164,0.3,15
165,0.3,15
166,0.3,15
167,0.3,15
168,0.3,15
169,0.3,15
170,0.3,15
171,0.3,15
172,0.3,15
173,0.3,15
174,0.3,15
175,0.3,15
176,0.3,15
177,0.3,15
178,0.3,15
179,0.3,15
180,0.3,15
181,0.3,15
182,0.3,15
183,0.3,15
184,0.3,15
185,0.3,15
186,0.3,15
187,0.3,15
188,0.3,15
189,0.3,15
190,0.3,15
191,0.3,15
192,0.3,15
193,0.3,15
194,0.3,15
195,0.3,15
196,0.3,15
197,0.3,15
198,0.3,15
199,0.3,15
200,0.3,15
